Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	54.4	0	34	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	2	internal://	InInterests	0	0	0	0
0.5	0	2	internal://	OutInterests	0	0	0	0
0.5	0	2	internal://	InData	0	0	0	0
0.5	0	2	internal://	OutData	0	0	0	0
0.5	0	2	internal://	InNacks	0	0	0	0
0.5	0	2	internal://	OutNacks	0	0	0	0
0.5	0	2	internal://	InSatisfiedInterests	51.2	0	32	0
0.5	0	2	internal://	InTimedOutInterests	0	0	0	0
0.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	internal://	InInterests	0	0	0	0
0.5	0	256	internal://	OutInterests	0	0	0	0
0.5	0	256	internal://	InData	0	0	0	0
0.5	0	256	internal://	OutData	0	0	0	0
0.5	0	256	internal://	InNacks	0	0	0	0
0.5	0	256	internal://	OutNacks	0	0	0	0
0.5	0	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	0	256	internal://	InTimedOutInterests	0	0	0	0
0.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutInterests	8	0.234375	5	0.146484
0.5	0	257	netdev://[00:00:00:00:00:01]	InData	6.4	6.6375	4	4.14844
0.5	0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	6.4	0	4	0
0.5	0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	InInterests	8	0.234375	5	0.146484
0.5	0	259	appFace://	OutInterests	0	0	0	0
0.5	0	259	appFace://	InData	0	0	0	0
0.5	0	259	appFace://	OutData	6.4	6.6375	4	4.14844
0.5	0	259	appFace://	InNacks	0	0	0	0
0.5	0	259	appFace://	OutNacks	0	0	0	0
0.5	0	259	appFace://	InSatisfiedInterests	6.4	0	4	0
0.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
0.5	0	259	appFace://	OutSatisfiedInterests	0	0	0	0
0.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	60.8	0	38	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
0.5	1	1	internal://	InInterests	0	0	0	0
0.5	1	1	internal://	OutInterests	0	0	0	0
0.5	1	1	internal://	InData	0	0	0	0
0.5	1	1	internal://	OutData	0	0	0	0
0.5	1	1	internal://	InNacks	0	0	0	0
0.5	1	1	internal://	OutNacks	0	0	0	0
0.5	1	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	1	1	internal://	InTimedOutInterests	0	0	0	0
0.5	1	1	internal://	OutSatisfiedInterests	54.4	0	34	0
0.5	1	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	2	internal://	InInterests	0	0	0	0
0.5	1	2	internal://	OutInterests	0	0	0	0
0.5	1	2	internal://	InData	0	0	0	0
0.5	1	2	internal://	OutData	0	0	0	0
0.5	1	2	internal://	InNacks	0	0	0	0
0.5	1	2	internal://	OutNacks	0	0	0	0
0.5	1	2	internal://	InSatisfiedInterests	51.2	0	32	0
0.5	1	2	internal://	InTimedOutInterests	0	0	0	0
0.5	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	256	internal://	InInterests	0	0	0	0
0.5	1	256	internal://	OutInterests	0	0	0	0
0.5	1	256	internal://	InData	0	0	0	0
0.5	1	256	internal://	OutData	0	0	0	0
0.5	1	256	internal://	InNacks	0	0	0	0
0.5	1	256	internal://	OutNacks	0	0	0	0
0.5	1	256	internal://	InSatisfiedInterests	3.2	0	2	0
0.5	1	256	internal://	InTimedOutInterests	0	0	0	0
0.5	1	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	1	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	InInterests	8	0.234375	5	0.146484
0.5	1	257	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	OutData	6.4	6.6375	4	4.14844
0.5	1	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	6.4	0	4	0
0.5	1	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
0.5	1	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	InInterests	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	OutInterests	8	0.234375	5	0.146484
0.5	1	259	netdev://[00:00:00:00:00:09]	InData	6.4	6.6375	4	4.14844
0.5	1	259	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
0.5	1	259	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	6.4	0	4	0
0.5	1	259	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
0.5	1	-1	all	SatisfiedInterests	60.8	0	38	0
0.5	1	-1	all	TimedOutInterests	0	0	0	0
0.5	2	1	internal://	InInterests	0	0	0	0
0.5	2	1	internal://	OutInterests	0	0	0	0
0.5	2	1	internal://	InData	0	0	0	0
0.5	2	1	internal://	OutData	0	0	0	0
0.5	2	1	internal://	InNacks	0	0	0	0
0.5	2	1	internal://	OutNacks	0	0	0	0
0.5	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	2	1	internal://	InTimedOutInterests	0	0	0	0
0.5	2	1	internal://	OutSatisfiedInterests	52.8	0	33	0
0.5	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	2	internal://	InInterests	0	0	0	0
0.5	2	2	internal://	OutInterests	0	0	0	0
0.5	2	2	internal://	InData	0	0	0	0
0.5	2	2	internal://	OutData	0	0	0	0
0.5	2	2	internal://	InNacks	0	0	0	0
0.5	2	2	internal://	OutNacks	0	0	0	0
0.5	2	2	internal://	InSatisfiedInterests	51.2	0	32	0
0.5	2	2	internal://	InTimedOutInterests	0	0	0	0
0.5	2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	256	internal://	InInterests	0	0	0	0
0.5	2	256	internal://	OutInterests	0	0	0	0
0.5	2	256	internal://	InData	0	0	0	0
0.5	2	256	internal://	OutData	0	0	0	0
0.5	2	256	internal://	InNacks	0	0	0	0
0.5	2	256	internal://	OutNacks	0	0	0	0
0.5	2	256	internal://	InSatisfiedInterests	1.6	0	1	0
0.5	2	256	internal://	InTimedOutInterests	0	0	0	0
0.5	2	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	2	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	2	-1	all	SatisfiedInterests	52.8	0	33	0
0.5	2	-1	all	TimedOutInterests	0	0	0	0
